epoch,acc,loss,val_acc,val_loss
0,0.38,1.0883043098449707,0.37142857142857144,1.0868494408471243
1,0.45714285714285713,1.0509621565682548,0.5385714280605316,0.9659463466916766
2,0.5607142857142857,0.9302215249197824,0.5842857132639204,0.9322427102497646
3,0.5939285714285715,0.8640473920958383,0.6071428561210632,0.845805276121412
4,0.6035714285714285,0.8365388798713684,0.5657142860548837,0.8903566363879613
5,0.6614285714285715,0.7625089481898717,0.5728571431977408,0.9916818489347186
6,0.7314285714285714,0.663941547530038,0.6342857132639204,0.8767104302133832
7,0.7717857142857143,0.5961090047018869,0.7314285707473754,0.7935514082227434
8,0.8064285714285714,0.5021809497901372,0.6942857132639204,0.7495085385867527
9,0.8435714285714285,0.39850750054631917,0.6957142853736877,0.8642329907417298
10,0.8775,0.3369293885571616,0.7,0.8692790446962629
11,0.9117857142857143,0.2474060861340591,0.7371428571428571,0.8485360547474452
12,0.9360714285714286,0.18545214035681315,0.73,0.984317935534886
13,0.9421428571428572,0.16223964486803327,0.7414285721097673,1.208993490082877
14,0.9596428571428571,0.11820178857605372,0.7342857142857143,1.11116455078125
15,0.9678571428571429,0.09671290393386568,0.7342857149669102,1.6090438611166817
16,0.9796428571428571,0.0639366452395916,0.7414285714285714,1.5530170515605382
17,0.9857142857142858,0.046009989097448335,0.7014285721097674,1.8391428075517926
18,0.9914285714285714,0.033543246619935546,0.6971428561210632,2.1109535435267857
19,0.9857142857142858,0.05481927945278585,0.73,1.625687315123422
