epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.45800000047683714,1.0765721616744994,0.0,1.683400360107422
1,0.47399999952316285,1.0414598398208619,0.0,1.4883573360443114
2,0.4740000002384186,1.0422184009552002,0.0,1.7087833271026611
3,0.47399999952316285,1.0419979257583618,0.0,1.536615906715393
4,0.47399999952316285,1.0415858154296875,0.0,1.608354956626892
5,0.47400000047683716,1.0412867050170898,0.0,1.6582674369812012
6,0.4740000002384186,1.0410155467987061,0.0,1.5506499395370483
7,0.47400000047683716,1.0419106521606445,0.0,1.652636827468872
8,0.4739999997615814,1.0411157350540161,0.0,1.5837900304794312
9,0.47400000047683716,1.0429553060531616,0.0,1.518187816619873
10,0.474,1.0427767887115478,0.0,1.6022534370422363
11,0.4739999997615814,1.0412844638824463,0.0,1.633476734161377
12,0.47399999952316285,1.0414430437088014,0.0,1.6450691223144531
13,0.474,1.0412895669937134,0.0,1.572574912071228
14,0.47400000047683716,1.0413330316543579,0.0,1.595123529434204
