epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.474,1.0517407741546632,0.0,1.3834211091995239
1,0.474,1.045608699798584,0.0,1.4456264972686768
2,0.474,1.0425890216827391,0.0,1.646018467903137
3,0.474,1.0426229314804076,0.0,1.6430907297134398
4,0.474,1.0406965036392213,0.0,1.582370553970337
5,0.474,1.0417992553710937,0.0,1.5207238159179688
6,0.474,1.0417546653747558,0.0,1.529293975830078
7,0.474,1.0415064544677735,0.0,1.5902227640151978
8,0.474,1.038698055267334,0.0,1.7010804452896118
9,0.474,1.0397481174468994,0.0,1.4091802520751953
10,0.474,1.042136607170105,0.0,1.6019802408218384
11,0.474,1.0409755368232727,0.0,1.653611291885376
12,0.474,1.039805058479309,0.0,1.8264857940673829
13,0.474,1.0361590452194214,0.0,1.486548828125
14,0.474,1.0394190893173219,0.0,1.8063156747817992
